M<->R containerM:['56686446'] | containerR:['42457676'] | not better, but acccepted. | T= 810499082.3 | Number: 1180
M<->R containerM:['11636537'] | containerR:['42457676'] | not better, but acccepted. | T= 809688583.2 | Number: 1180
M<->R containerM:['45902442'] | containerR:['42457676'] | better score! | T= 808878894.6 | Number: 1180
M<->R containerM:['74877554'] | containerR:['62555248'] | not better, but acccepted. | T= 808070015.8 | Number: 1180
M<->R containerM:['43053426'] | containerR:['62555248'] | not better, but acccepted. | T= 807261945.7 | Number: 1180
M<->R containerM:['19167878'] | containerR:['62555248'] | better score! | T= 806454683.8 | Number: 1180
M<->R containerM:['53919679'] | containerR:['62555248'] | not better, but acccepted. | T= 805648229.1 | Number: 1180
M<->R containerM:['59255257'] | containerR:['62555248'] | not better, but acccepted. | T= 804842580.9 | Number: 1180
M<->R containerM:['34203989'] | containerR:['62555248'] | not better, but acccepted. | T= 804037738.3 | Number: 1180
M<->R containerM:['66197710'] | containerR:['62555248'] | not better, but acccepted. | T= 803233700.6 | Number: 1180
M<->R containerM:['13278790'] | containerR:['62555248'] | better score! | T= 802430466.9 | Number: 1180
M<->R containerM:['78113064'] | containerR:['62555248'] | not better, but acccepted. | T= 801628036.4 | Number: 1180
M<->R containerM:['23772945'] | containerR:['62555248'] | better score! | T= 800826408.4 | Number: 1180
M<->R containerM:['94562677'] | containerR:['62555248'] | not better, but acccepted. | T= 800025581.9 | Number: 1180
M<->R containerM:['63524567'] | containerR:['62555248'] | not better, but acccepted. | T= 799225556.4 | Number: 1180
M<->R containerM:['38919786'] | containerR:['62555248'] | not better, but acccepted. | T= 798426330.8 | Number: 1180
M<->R containerM:['61562748'] | containerR:['62555248'] | better score! | T= 797627904.5 | Number: 1180
M<->R containerM:['65274329'] | containerR:['62555248'] | not better, but acccepted. | T= 796830276.6 | Number: 1180
M<->R containerM:['86924356'] | containerR:['62555248'] | not better, but acccepted. | T= 796033446.3 | Number: 1180
M<->R containerM:['13278790'] | containerR:['62555248'] | better score! | T= 795237412.9 | Number: 1180
M<->R containerM:['12788362'] | containerR:['62555248'] | not better, but acccepted. | T= 794442175.4 | Number: 1180
M<->R containerM:['44300912'] | containerR:['62555248'] | not better, but acccepted. | T= 793647733.3 | Number: 1180
M<->R containerM:['66012850'] | containerR:['62555248'] | better score! | T= 792854085.5 | Number: 1180
M<->R containerM:['77280432'] | containerR:['62555248'] | not better, but acccepted. | T= 792061231.4 | Number: 1180
M<->R containerM:['47698539'] | containerR:['62555248'] | not better, but acccepted. | T= 791269170.2 | Number: 1180
M<->R containerM:['58095946'] | containerR:['62555248'] | not better, but acccepted. | T= 790477901.0 | Number: 1180
M<->R containerM:['12433921'] | containerR:['62555248'] | better score! | T= 789687423.1 | Number: 1180
M<->R containerM:['79924803'] | containerR:['62555248'] | not better, but acccepted. | T= 788897735.7 | Number: 1180
M<->R containerM:['79994496'] | containerR:['62555248'] | not better, but acccepted. | T= 788108838.0 | Number: 1180
M<->R containerM:['58095946'] | containerR:['62555248'] | not better, but acccepted. | T= 787320729.1 | Number: 1180
M<->R containerM:['17025792'] | containerR:['62555248'] | not better, but acccepted. | T= 786533408.4 | Number: 1180
M<->R containerM:['32420122'] | containerR:['62555248'] | not better, but acccepted. | T= 785746875.0 | Number: 1180
M<->R containerM:['93217972'] | containerR:['62555248'] | not better, but acccepted. | T= 784961128.1 | Number: 1180
M<->R containerM:['90061770'] | containerR:['62555248'] | not better, but acccepted. | T= 784176167.0 | Number: 1180
M<->R containerM:['65274329'] | containerR:['62555248'] | not better, but acccepted. | T= 783391990.8 | Number: 1180
M<->R containerM:['26145551'] | containerR:['62555248'] | not better, but acccepted. | T= 782608598.8 | Number: 1180
M<->R containerM:['29774728'] | containerR:['62555248'] | not better, but acccepted. | T= 781825990.2 | Number: 1180
