M<->R containerM:['93047688'] | containerR:['88960928'] | better score! | T= 846128909.5 | Number: 293
M<->R containerM:['89252984'] | containerR:['88960928'] | not better, but acccepted. | T= 845282780.6 | Number: 293
M<->R containerM:['90748645'] | containerR:['88960928'] | not better, but acccepted. | T= 844437497.8 | Number: 293
M<->R containerM:['85236250'] | containerR:['88960928'] | not better, but acccepted. | T= 843593060.3 | Number: 293
M<->R containerM:['88821066'] | containerR:['88960928'] | not better, but acccepted. | T= 842749467.2 | Number: 293
M<->R containerM:['24915064'] | containerR:['88960928'] | not better, but acccepted. | T= 841906717.8 | Number: 293
M<->R containerM:['12541366'] | containerR:['88960928'] | not better, but acccepted. | T= 841064811.0 | Number: 293
M<->R containerM:['35768999'] | containerR:['88960928'] | not better, but acccepted. | T= 840223746.2 | Number: 293
M<->R containerM:['35768999'] | containerR:['88960928'] | not better, but acccepted. | T= 839383522.5 | Number: 293
M<->R containerM:['81845234'] | containerR:['88960928'] | better score! | T= 838544139.0 | Number: 293
M<->R containerM:['49016561'] | containerR:['88960928'] | not better, but acccepted. | T= 837705594.8 | Number: 293
M<->R containerM:['65682155'] | containerR:['88960928'] | not better, but acccepted. | T= 836867889.2 | Number: 293
M<->R containerM:['24915064'] | containerR:['88960928'] | not better, but acccepted. | T= 836031021.3 | Number: 293
M<->R containerM:['26695468'] | containerR:['88960928'] | better score! | T= 835194990.3 | Number: 293
M<->R containerM:['74224322'] | containerR:['88960928'] | not better, but acccepted. | T= 834359795.3 | Number: 293
M<->R containerM:['88666830'] | containerR:['88960928'] | better score! | T= 833525435.5 | Number: 293
M<->R containerM:['49016561'] | containerR:['88960928'] | not better, but acccepted. | T= 832691910.1 | Number: 293
M<->R containerM:['45391366'] | containerR:['88960928'] | not better, but acccepted. | T= 831859218.2 | Number: 293
M<->R containerM:['35768999'] | containerR:['88960928'] | not better, but acccepted. | T= 831027359.0 | Number: 293
M<->R containerM:['76839857'] | containerR:['88960928'] | not better, but acccepted. | T= 830196331.6 | Number: 293
M<->R containerM:['95324547'] | containerR:['88960928'] | better score! | T= 829366135.3 | Number: 293
M<->R containerM:['43791101'] | containerR:['88960928'] | not better, but acccepted. | T= 828536769.2 | Number: 293
M<->R containerM:['54378683'] | containerR:['88960928'] | not better, but acccepted. | T= 827708232.4 | Number: 293
M<->R containerM:['90629724'] | containerR:['88960928'] | better score! | T= 826880524.1 | Number: 293
M<->R containerM:['30648749'] | containerR:['88960928'] | not better, but acccepted. | T= 826053643.6 | Number: 293
M<->R containerM:['58793079'] | containerR:['88960928'] | not better, but acccepted. | T= 825227590.0 | Number: 293
M<->R containerM:['91708989'] | containerR:['88960928'] | not better, but acccepted. | T= 824402362.4 | Number: 293
M<->R containerM:['94230879'] | containerR:['88960928'] | not better, but acccepted. | T= 823577960.0 | Number: 293
M<->R containerM:['78304670'] | containerR:['88960928'] | not better, but acccepted. | T= 822754382.1 | Number: 293
M<->R containerM:['85296118'] | containerR:['88960928'] | not better, but acccepted. | T= 821931627.7 | Number: 293
M<->R containerM:['70944508'] | containerR:['88960928'] | better score! | T= 821109696.1 | Number: 293
M<->R containerM:['83678735'] | containerR:['88960928'] | not better, but acccepted. | T= 820288586.4 | Number: 293
M<->R containerM:['79003940'] | containerR:['88960928'] | not better, but acccepted. | T= 819468297.8 | Number: 293
M<->R containerM:['88349496'] | containerR:['88960928'] | not better, but acccepted. | T= 818648829.5 | Number: 293
M<->R containerM:['11490628'] | containerR:['88960928'] | better score! | T= 817830180.6 | Number: 293
M<->R containerM:['62123461'] | containerR:['88960928'] | not better, but acccepted. | T= 817012350.5 | Number: 293
M<->R containerM:['94453962'] | containerR:['88960928'] | not better, but acccepted. | T= 816195338.1 | Number: 293
M<->R containerM:['83161317'] | containerR:['88960928'] | not better, but acccepted. | T= 815379142.8 | Number: 293
M<->R containerM:['87981724'] | containerR:['88960928'] | not better, but acccepted. | T= 814563763.6 | Number: 293
M<->R containerM:['94230879'] | containerR:['88960928'] | not better, but acccepted. | T= 813749199.9 | Number: 293
M<->R containerM:['99930842'] | containerR:['88960928'] | not better, but acccepted. | T= 812935450.7 | Number: 293
M<->R containerM:['87981724'] | containerR:['88960928'] | better score! | T= 812122515.2 | Number: 293
M<->R containerM:['25172159'] | containerR:['88960928'] | not better, but acccepted. | T= 811310392.7 | Number: 293
M<->R containerM:['43118612'] | containerR:['88960928'] | not better, but acccepted. | T= 810499082.3 | Number: 293
M<->R containerM:['79003940'] | containerR:['88960928'] | better score! | T= 809688583.2 | Number: 293
M<->R containerM:['93047688'] | containerR:['88960928'] | not better, but acccepted. | T= 808878894.6 | Number: 293
M<->R containerM:['76839857'] | containerR:['88960928'] | not better, but acccepted. | T= 808070015.8 | Number: 293
M<->R containerM:['56517394'] | containerR:['88960928'] | better score! | T= 807261945.7 | Number: 293
M<->R containerM:['99930842'] | containerR:['88960928'] | not better, but acccepted. | T= 806454683.8 | Number: 293
M<->R containerM:['31113424'] | containerR:['88960928'] | better score! | T= 805648229.1 | Number: 293
M<->R containerM:['57479503'] | containerR:['88960928'] | not better, but acccepted. | T= 804842580.9 | Number: 293
M<->R containerM:['93855226'] | containerR:['88960928'] | not better, but acccepted. | T= 804037738.3 | Number: 293
M<->R containerM:['56017398'] | containerR:['88960928'] | not better, but acccepted. | T= 803233700.6 | Number: 293
M<->R containerM:['57479503'] | containerR:['88960928'] | not better, but acccepted. | T= 802430466.9 | Number: 293
M<->R containerM:['85236250'] | containerR:['88960928'] | not better, but acccepted. | T= 801628036.4 | Number: 293
M<->R containerM:['62123461'] | containerR:['88960928'] | not better, but acccepted. | T= 800826408.4 | Number: 293
M<->R containerM:['64817816'] | containerR:['88960928'] | not better, but acccepted. | T= 800025581.9 | Number: 293
M<->R containerM:['95324547'] | containerR:['88960928'] | not better, but acccepted. | T= 799225556.4 | Number: 293
M<->R containerM:['70286807'] | containerR:['88960928'] | not better, but acccepted. | T= 798426330.8 | Number: 293
M<->R containerM:['89357542'] | containerR:['88960928'] | not better, but acccepted. | T= 797627904.5 | Number: 293
M<->R containerM:['74479790'] | containerR:['88960928'] | not better, but acccepted. | T= 796830276.6 | Number: 293
M<->R containerM:['42127697'] | containerR:['88960928'] | not better, but acccepted. | T= 796033446.3 | Number: 293
M<->R containerM:['81845234'] | containerR:['88960928'] | not better, but acccepted. | T= 795237412.9 | Number: 293
M<->R containerM:['22585950'] | containerR:['88960928'] | not better, but acccepted. | T= 794442175.4 | Number: 293
M<->R containerM:['30648749'] | containerR:['70944508'] | not better, but acccepted. | T= 793647733.3 | Number: 293
M<->R containerM:['78304670'] | containerR:['70944508'] | better score! | T= 792854085.5 | Number: 293
M<->R containerM:['76400344'] | containerR:['70944508'] | not better, but acccepted. | T= 792061231.4 | Number: 293
M<->R containerM:['94453962'] | containerR:['70944508'] | not better, but acccepted. | T= 791269170.2 | Number: 293
M<->R containerM:['83161317'] | containerR:['70944508'] | not better, but acccepted. | T= 790477901.0 | Number: 293
M<->R containerM:['90629724'] | containerR:['70944508'] | not better, but acccepted. | T= 789687423.1 | Number: 293
M<->R containerM:['76803925'] | containerR:['70944508'] | not better, but acccepted. | T= 788897735.7 | Number: 293
M<->R containerM:['12541366'] | containerR:['70944508'] | not better, but acccepted. | T= 788108838.0 | Number: 293
M<->R containerM:['11490628'] | containerR:['70944508'] | not better, but acccepted. | T= 787320729.1 | Number: 293
M<->R containerM:['56517394'] | containerR:['70944508'] | not better, but acccepted. | T= 786533408.4 | Number: 293
M<->R containerM:['65682155'] | containerR:['70944508'] | not better, but acccepted. | T= 785746875.0 | Number: 293
M<->R containerM:['83161317'] | containerR:['70944508'] | not better, but acccepted. | T= 784961128.1 | Number: 293
M<->R containerM:['76803925'] | containerR:['70944508'] | not better, but acccepted. | T= 784176167.0 | Number: 293
