M<->R containerM:['36718768'] | containerR:['14753231'] | better score! | T= 788108838.0 | Number: 422
M<->R containerM:['40816717'] | containerR:['14753231'] | not better, but acccepted. | T= 787320729.1 | Number: 422
M<->R containerM:['58747026'] | containerR:['14753231'] | better score! | T= 786533408.4 | Number: 422
M<->R containerM:['53767907'] | containerR:['14753231'] | not better, but acccepted. | T= 785746875.0 | Number: 422
M<->R containerM:['57876325'] | containerR:['14753231'] | not better, but acccepted. | T= 784961128.1 | Number: 422
M<->R containerM:['91708989'] | containerR:['14753231'] | not better, but acccepted. | T= 784176167.0 | Number: 422
M<->R containerM:['67010814'] | containerR:['14753231'] | better score! | T= 783391990.8 | Number: 422
M<->R containerM:['69538525'] | containerR:['51957035'] | not better, but acccepted. | T= 782608598.8 | Number: 422
M<->R containerM:['39883811'] | containerR:['51957035'] | not better, but acccepted. | T= 781825990.2 | Number: 422
M<->R containerM:['62900531'] | containerR:['51957035'] | not better, but acccepted. | T= 781044164.3 | Number: 422
M<->R containerM:['28866388'] | containerR:['51957035'] | better score! | T= 780263120.1 | Number: 422
M<->R containerM:['95691280'] | containerR:['51957035'] | not better, but acccepted. | T= 779482857.0 | Number: 422
M<->R containerM:['77301913'] | containerR:['51957035'] | not better, but acccepted. | T= 778703374.1 | Number: 422
M<->R containerM:['88821066'] | containerR:['51957035'] | better score! | T= 777924670.7 | Number: 422
M<->R containerM:['76839857'] | containerR:['51957035'] | not better, but acccepted. | T= 777146746.1 | Number: 422
M<->R containerM:['57086421'] | containerR:['51957035'] | not better, but acccepted. | T= 776369599.3 | Number: 422
M<->R containerM:['12686149'] | containerR:['51957035'] | not better, but acccepted. | T= 775593229.7 | Number: 422
M<->R containerM:['19741756'] | containerR:['51957035'] | better score! | T= 774817636.5 | Number: 422
M<->R containerM:['73831628'] | containerR:['51957035'] | not better, but acccepted. | T= 774042818.9 | Number: 422
M<->R containerM:['14933849'] | containerR:['33279727', '51957035'] | not better, but acccepted. | T= 773268776.0 | Number: 422
M<->R containerM:['72323382'] | containerR:['12648926', '41347415'] | better score! | T= 772495507.3 | Number: 422
M<->R containerM:['95756060'] | containerR:['23664583'] | not better, but acccepted. | T= 771723011.8 | Number: 422
M<->R containerM:['73831628'] | containerR:['23664583'] | better score! | T= 770951288.7 | Number: 422
M<->R containerM:['58747026'] | containerR:['23664583'] | not better, but acccepted. | T= 770180337.5 | Number: 422
M<->R containerM:['83154690'] | containerR:['23664583'] | not better, but acccepted. | T= 769410157.1 | Number: 422
M<->R containerM:['89357542'] | containerR:['23664583'] | better score! | T= 768640747.0 | Number: 422
M<->R containerM:['90139478'] | containerR:['23664583'] | not better, but acccepted. | T= 767872106.2 | Number: 422
M<->R containerM:['55312847'] | containerR:['23664583'] | not better, but acccepted. | T= 767104234.1 | Number: 422
M<->R containerM:['27414683'] | containerR:['23664583'] | not better, but acccepted. | T= 766337129.9 | Number: 422
M<->R containerM:['72323382'] | containerR:['23664583'] | better score! | T= 765570792.7 | Number: 422
M<->R containerM:['15868586'] | containerR:['23664583'] | not better, but acccepted. | T= 764805222.0 | Number: 422
M<->R containerM:['18457339'] | containerR:['23664583'] | better score! | T= 764040416.7 | Number: 422
M<->R containerM:['88708842'] | containerR:['23664583'] | better score! | T= 763276376.3 | Number: 422
M<->R containerM:['62900531'] | containerR:['23664583'] | not better, but acccepted. | T= 762513099.9 | Number: 422
M<->R containerM:['95691280'] | containerR:['23664583'] | not better, but acccepted. | T= 761750586.8 | Number: 422
M<->R containerM:['69538525'] | containerR:['23664583'] | not better, but acccepted. | T= 760988836.3 | Number: 422
M<->R containerM:['71981435'] | containerR:['23664583'] | better score! | T= 760227847.4 | Number: 422
M<->R containerM:['76636214'] | containerR:['23664583'] | not better, but acccepted. | T= 759467619.6 | Number: 422
M<->R containerM:['12457109'] | containerR:['97912558', '23664583'] | not better, but acccepted. | T= 758708151.9 | Number: 422
M<->R containerM:['23154228'] | containerR:['12457109'] | better score! | T= 757949443.8 | Number: 422
M<->R containerM:['90139478'] | containerR:['12457109'] | not better, but acccepted. | T= 757191494.4 | Number: 422
